"filename", "language", "JSON with Comments", "Markdown", "Pug", "TypeScript", "JSON", "C#", "XML", "Properties", "JavaScript", "CSS", "comment", "blank", "total"
"/run/media/peercat/DATA/Code/NodeVMS/src/router/home.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/run/media/peercat/DATA/Code/NodeVMS/src/router/weather.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/run/media/peercat/DATA/Code/NodeVMS/src/types/global.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 10, 90
"/run/media/peercat/DATA/Code/NodeVMS/src/util/dataActions/aircraft/aircraft.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/run/media/peercat/DATA/Code/NodeVMS/src/util/dataActions/airmail/index.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 1, 6, 82
"/run/media/peercat/DATA/Code/NodeVMS/src/util/dataActions/dataActions.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 12, 43
"/run/media/peercat/DATA/Code/NodeVMS/src/util/encrypt.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 0, 23
"/run/media/peercat/DATA/Code/NodeVMS/src/util/logger.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/run/media/peercat/DATA/Code/NodeVMS/src/util/resEnder.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"/run/media/peercat/DATA/Code/NodeVMS/src/util/secrets.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/run/media/peercat/DATA/Code/NodeVMS/src/util/session.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
